Title,Year,ID,Director 1,Director 2,Lead Actor,Supporting Actor,Genre 1,Genre 2,Genre 3,Length,ID,Jon,Shukanth,RT,iMDB,MC,Jake,Jeff,Letterboxd Link
Black Hawk Down,2001,,Ridley Scott,,,,Action,,,144,,,,,,,4.5,4.5,http://letterboxd.com/film/black-hawk-down/
Black Swan,2010,,Darren Aronofsky,,,,Suspense,,,108,,,,,,,,4.5,http://letterboxd.com/film/black-swan/
12 Years a Slave,2013,,,,,,,,,,,,,,,,3.5,4.5,http://letterboxd.com/film/12-years-a-slave/
2001: A Space Odyssey,1968,,,,,,,,,,,,,,,,4.5,4.5,http://letterboxd.com/film/2001-a-space-odyssey/
Block Party,2005,,Michel Gondry,,,,Documentary,,,103,,,,,,,,,
A Separation,2011,,,,,,,,,,,,,,,,,4.5,http://letterboxd.com/film/a-separation/
Ai Weiwei: Never Sorry,2012,,,,,,,,,,,,,,,,,4.5,http://letterboxd.com/film/ai-weiwei-never-sorry/
Blood Simple,1984,,Coen Brothers,,,,Action,,,99,,,,,,,,4,http://letterboxd.com/film/blood-simple/
Blue Valentine,2010,,Derek Cianfrance,,,,Drama,,,112,,,,,,,,4,http://letterboxd.com/film/blue-valentine/
Boiler Room,2000,,Ben Younger,,,,Suspense,,,120,,,,,,,,,
Apocalypse Now,1979,,,,,,,,,,,,,,,,4.5,4.5,http://letterboxd.com/film/apocalypse-now/
Band of Brothers,2001,,,,,,,,,,,,,,,,4.5,4.5,http://letterboxd.com/film/band-of-brothers/
Before Sunrise,1995,,,,,,,,,,,,,,,,,4.5,http://letterboxd.com/film/before-sunrise/
Before Sunset,2004,,,,,,,,,,,,,,,,,4.5,http://letterboxd.com/film/before-sunset/
Boogie Nights,1997,,Paul Thomas Anderson,,,,Drama,,,155,,,,,,,3.5,4.5,http://letterboxd.com/film/boogie-nights/
Bottle Rocket,1996,,Wes Anderson,,Luke Wilson,Owen Wilson,Comedy,Crime,Drama,91,tt0115734,,,84,72,65,4,5,http://letterboxd.com/film/bottle-rocket-1996/
The Bourne Identity,2002,,Doug Liman,,,,Action,,,119,,,,,,,,,
Che: Part One,2008,,,,,,,,,,,,,,,,,4.5,http://letterboxd.com/film/che-part-one/
Bowfinger,1999,,Frank Oz,,,,Comedy,,,97,,,,,,,,,
Brazil,1985,,Terry Gilliam,,,,Science Fiction,,,132,,,,,,,,4,http://letterboxd.com/film/brazil/
Breathless,1960,,Jean-Luc Godard,,Jean Seberg,Jean-Paul Belmondo,Crime,Drama,Romance,90,tt0053472,,,97,80,,3,5,http://letterboxd.com/film/breathless/
Evangelion: 1.0: You Are (Not) Alone,2007,,,,,,,,,,,,,,,,,4.5,http://letterboxd.com/film/evangelion-10-you-are-not-alone/
Brick,2005,,Rian Johnson,,,,Suspense,,,110,,,,,,,,,
Bring It On,2000,,Peyton Reed,,,,Comedy,,,98,,,,,,,,,
Broken Flowers,2005,,Jim Jarmusch,,,,Drama,,,106,,,,,,,,4,http://letterboxd.com/film/broken-flowers/
Buffalo '66,1998,,Vincent Gallo,,,,Drama,,,110,,,,,,,,,
Burn After Reading,2008,,Coen Brothers,,,,Comedy,,,96,,,,,,,,4,http://letterboxd.com/film/burn-after-reading/
Chasing Amy,1997,,Kevin Smith,,,,Comedy,,,113,,,,,,,,4,http://letterboxd.com/film/chasing-amy/
Holy Motors,2012,,,,,,,,,,,,,,,,,4.5,http://letterboxd.com/film/holy-motors/
Che: Part One,2008,,Steven Soderbergh,,,,Action,,,134,,,,,,,,,
J.S.A. Joint Security Area,2000,,,,,,,,,,,,,,,,,4.5,http://letterboxd.com/film/jsa-joint-security-area/
Jiro Dreams of Sushi,2011,,,,,,,,,,,,,,,,4.5,4.5,http://letterboxd.com/film/jiro-dreams-of-sushi/
Juno,2007,,,,,,,,,,,,,,,,2.5,4.5,http://letterboxd.com/film/juno/
Children of Men,2006,,Alfonso Cuarón,,,,Science Fiction,,,109,,,,,,,4,4.5,http://letterboxd.com/film/children-of-men/
Chungking Express,1994,,Wong Kar-wai,,Brigitte Lin,Tony Chiu Wai Leung,Drama,Mystery,Romance,98,tt0109424,,,90,81,77,,5,http://letterboxd.com/film/chungking-express/
City of God,2002,,Fernando Meirelles,,,,Action,,,130,,,,,,,4,4.5,http://letterboxd.com/film/city-of-god/
City on Fire,1987,,Ringo Lam,,,,Asian,,,101,,,,,,,,4,http://letterboxd.com/film/city-on-fire/
Clerks,1994,,Kevin Smith,,Brian O'Halloran,Jeff Anderson,Comedy,,,92,tt0210413,,,88,79,70,3.5,5,http://letterboxd.com/film/clerks/
Clockers,1995,,Spike Lee,,,,Drama,,,128,,,,,,,,,
Closer,2004,,Mike Nichols,,,,Drama,,,104,,,,,,,,,
Clueless,1995,,Amy Heckerling,,,,Comedy,,,97,,,,,,,,,
Coffee and Cigarettes,2003,,Jim Jarmusch,,,,Drama,,,95,,,,,,,,,
Collateral,2004,,Michael Mann,,,,Action,,,120,,,,,,,4.5,4,http://letterboxd.com/film/collateral/
Coming to America,1988,,John Landis,,,,Comedy,,,116,,,,,,,,,
Short Term 12,2013,,,,,,,,,,,,,,,,,4.5,http://letterboxd.com/film/short-term-12-2013/
Confessions of a Dangerous Mind,2002,,George Clooney,,,,Drama,,,113,,,,,,,,4,http://letterboxd.com/film/confessions-of-a-dangerous-mind/
Cowboy Bebop: The Movie,2002,,Shinichirô Watanabe,,,,Anime,,,116,,,,,,,,,
Crouching Tiger Hidden Dragon,2000,,Ang Lee,,Yun-Fat Chow,Michelle Yeoh,Action,Drama,Romance,120,tt0190332,,,97,79,93,4.5,5,http://letterboxd.com/film/crouching-tiger-hidden-dragon/
Dark City,1998,,Alex Proyas,,,,Science Fiction,,,100,,,,,,,3,,http://letterboxd.com/film/dark-city-1998/
The Act of Killing,2012,,,,,,,,,,,,,,,,,4.5,http://letterboxd.com/film/the-act-of-killing/
The Assassination of Jesse James by the Coward Robert Ford,2007,,,,,,,,,,,,,,,,,4.5,http://letterboxd.com/film/the-assassination-of-jesse-james-by-the-coward-robert-ford/
The Dark Knight,2008,,,,,,,,,,,,,,,,5,4.5,http://letterboxd.com/film/the-dark-knight/
The Departed,2006,,,,,,,,,,,,,,,,4.5,4.5,http://letterboxd.com/film/the-departed/
The Godfather: Part II,1974,,,,,,,,,,,,,,,,,4.5,http://letterboxd.com/film/the-godfather-part-ii/
The Hurt Locker,2008,,,,,,,,,,,,,,,,4,4.5,http://letterboxd.com/film/the-hurt-locker/
The Lives of Others,2006,,,,,,,,,,,,,,,,4,4.5,http://letterboxd.com/film/the-lives-of-others/
The Raid 2,2014,,,,,,,,,,,,,,,,5,4.5,http://letterboxd.com/film/the-raid-2/
The Terminator,1984,,,,,,,,,,,,,,,,4.5,4.5,http://letterboxd.com/film/the-terminator/
The Tree of Life,2011,,,,,,,,,,,,,,,,,4.5,http://letterboxd.com/film/the-tree-of-life-2011/
The Wrestler,2008,,,,,,,,,,,,,,,,,4.5,http://letterboxd.com/film/the-wrestler/
Days of Heaven,1978,,Terrence Malick,,,,Drama,,,94,,,,,,,4,4.5,http://letterboxd.com/film/days-of-heaven/
This Is the End,2013,,,,,,,,,,,,,,,,,4.5,http://letterboxd.com/film/this-is-the-end/
Dead or Alive,1999,,Takashi Miike,,,,Action,,,105,,,,,,,,,
Delicatessen,1991,,Jean-Pierre Jeunet,,,,Dark Comedy,,,99,,,,,,,,4,http://letterboxd.com/film/delicatessen/
Twelve Monkeys,1995,,,,,,,,,,,,,,,,5,4.5,http://letterboxd.com/film/twelve-monkeys/
Zero Dark Thirty,2012,,,,,,,,,,,,,,,,3.5,4.5,http://letterboxd.com/film/zero-dark-thirty/
Die Hard,1988,,John McTiernan,,,,Action,,,131,,,,,,,5,4,http://letterboxd.com/film/die-hard/
Do the Right Thing,1989,,Spike Lee,,,,Drama,,,120,,,,,,,3,,http://letterboxd.com/film/do-the-right-thing/
Donnie Darko,2001,,Richard Kelly,,,,Science Fiction,,,113,,,,85,81,71,3.5,5,http://letterboxd.com/film/donnie-darko/
127 Hours,2010,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/127-hours/
Down by Law,1986,,Jim Jarmusch,,,,Drama,,,107,,,,,,,,,
20 Feet from Stardom,2013,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/20-feet-from-stardom/
Dr. Strangelove,1964,,Stanley Kubrick,,,,Comedy,,,95,,,,100,85,96,4,5,http://letterboxd.com/film/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb/
25th Hour,2002,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/25th-hour/
8½,1963,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/8/
A Clockwork Orange,1971,,,,,,,,,,,,,,,,4,4,http://letterboxd.com/film/a-clockwork-orange/
A Prophet,2009,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/a-prophet/
A Serious Man,2009,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/a-serious-man/
A Very Long Engagement,2004,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/a-very-long-engagement/
Ain't Them Bodies Saints,2013,,,,,,,,,,,,,,,,,4,http://letterboxd.com/film/aint-them-bodies-saints/
El Mariachi,1992,,Robert Rodriguez,,,,Action,,,81,,,,,,,,,
